Sample Nº,Date,Time,Milliseconds,Voltage [V],? Voltage [V],Current [?A],? Current [?A],Pressure [mBar],? Pressure [mBar]
404,15-03-2018,11:28:49,546,-25.17,10E-6,-9.159,10E-6,0,10E-6
405,15-03-2018,11:28:59,546,-28.08,10E-6,-8.505,10E-6,0,10E-6
406,15-03-2018,11:29:09,546,-30.72,10E-6,-8.505,10E-6,0,10E-6
407,15-03-2018,11:29:19,546,-33.36,10E-6,-9.814,10E-6,0,10E-6
408,15-03-2018,11:29:29,546,-34.95,10E-6,-8.832,10E-6,0,10E-6
409,15-03-2018,11:29:39,546,-35.47,10E-6,-7.85,10E-6,0,10E-6
410,15-03-2018,11:29:49,546,-35.87,10E-6,-7.85,10E-6,0,10E-6
411,15-03-2018,11:29:59,546,-36.93,10E-6,-8.832,10E-6,0,10E-6
412,15-03-2018,11:30:09,546,-37.46,10E-6,-8.505,10E-6,0,10E-6
413,15-03-2018,11:30:19,546,-37.32,10E-6,-7.523,10E-6,0,10E-6
414,15-03-2018,11:30:29,546,-39.04,10E-6,-7.85,10E-6,0,10E-6
415,15-03-2018,11:30:39,546,-28.87,10E-6,-8.832,10E-6,0,10E-6
416,15-03-2018,11:30:49,546,-20.81,10E-6,-8.177,10E-6,0,10E-6
417,15-03-2018,11:30:59,546,-13.68,10E-6,-7.523,10E-6,0,10E-6
418,15-03-2018,11:31:09,546,-7.075,10E-6,-7.195,10E-6,0,10E-6
419,15-03-2018,11:31:19,546,-1.66,10E-6,-8.177,10E-6,0,10E-6
420,15-03-2018,11:31:29,546,3.888,10E-6,-5.886,10E-6,0,10E-6
421,15-03-2018,11:31:39,546,9.171,10E-6,333E-3,10E-6,0,10E-6
422,15-03-2018,11:31:49,546,13.79,10E-6,4.261,10E-6,0,10E-6
423,15-03-2018,11:31:59,546,17.23,10E-6,6.225,10E-6,0,10E-6
424,15-03-2018,11:32:09,546,21.72,10E-6,9.498,10E-6,0,10E-6
425,15-03-2018,11:32:19,546,27.14,10E-6,13.43,10E-6,0,10E-6
426,15-03-2018,11:32:29,546,30.44,10E-6,16.04,10E-6,0,10E-6
427,15-03-2018,11:32:39,546,32.42,10E-6,18.01,10E-6,0,10E-6
428,15-03-2018,11:32:49,546,34.66,10E-6,21.94,10E-6,0,10E-6
429,15-03-2018,11:32:59,546,37.17,10E-6,26.19,10E-6,0,10E-6
430,15-03-2018,11:33:09,546,39.55,10E-6,29.79,10E-6,0,10E-6
431,15-03-2018,11:33:19,546,41.66,10E-6,32.74,10E-6,0,10E-6
432,15-03-2018,11:33:29,546,44.57,10E-6,37.32,10E-6,0,10E-6
433,15-03-2018,11:33:39,546,45.89,10E-6,40.59,10E-6,0,10E-6
434,15-03-2018,11:33:49,546,41.14,10E-6,29.46,10E-6,0,10E-6
435,15-03-2018,11:33:59,546,37.44,10E-6,22.59,10E-6,0,10E-6
436,15-03-2018,11:34:09,546,33.61,10E-6,16.7,10E-6,0,10E-6
437,15-03-2018,11:34:19,546,29.51,10E-6,13.1,10E-6,0,10E-6
438,15-03-2018,11:34:29,546,19.74,10E-6,4.916,10E-6,0,10E-6
439,15-03-2018,11:34:39,546,9.832,10E-6,-5.232,10E-6,0,10E-6
440,15-03-2018,11:34:49,546,1.774,10E-6,-8.177,10E-6,0,10E-6
441,15-03-2018,11:34:59,546,-4.83,10E-6,-7.523,10E-6,0,10E-6
442,15-03-2018,11:35:09,546,-10.77,10E-6,-7.85,10E-6,0,10E-6
443,15-03-2018,11:35:19,546,-16.45,10E-6,-9.487,10E-6,0,10E-6
444,15-03-2018,11:35:29,546,-20.55,10E-6,-9.487,10E-6,0,10E-6
445,15-03-2018,11:35:39,546,-24.25,10E-6,-8.832,10E-6,0,10E-6
446,15-03-2018,11:35:49,546,-27.55,10E-6,-9.159,10E-6,0,10E-6
447,15-03-2018,11:35:59,546,-29.66,10E-6,-10.47,10E-6,0,10E-6
448,15-03-2018,11:36:09,546,-30.85,10E-6,-10.14,10E-6,0,10E-6
449,15-03-2018,11:36:19,546,-32.83,10E-6,-9.487,10E-6,0,10E-6
450,15-03-2018,11:36:29,546,-34.95,10E-6,-9.487,10E-6,0,10E-6
451,15-03-2018,11:36:39,546,-37.06,10E-6,-10.47,10E-6,0,10E-6
452,15-03-2018,11:36:49,546,-38.12,10E-6,-9.159,10E-6,0,10E-6
453,15-03-2018,11:36:59,546,-38.51,10E-6,-7.85,10E-6,0,10E-6
454,15-03-2018,11:37:09,546,-38.51,10E-6,-6.868,10E-6,0,10E-6
455,15-03-2018,11:37:19,546,-39.44,10E-6,-7.85,10E-6,0,10E-6
456,15-03-2018,11:37:29,546,-41.29,10E-6,-7.195,10E-6,0,10E-6
457,15-03-2018,11:37:39,546,-29.79,10E-6,-5.886,10E-6,0,10E-6
458,15-03-2018,11:37:49,546,-20.15,10E-6,-5.886,10E-6,0,10E-6
459,15-03-2018,11:37:59,546,-12.89,10E-6,-7.195,10E-6,0,10E-6
460,15-03-2018,11:38:09,546,-6.679,10E-6,-6.868,10E-6,0,10E-6
461,15-03-2018,11:38:19,546,-603.2E-3,10E-6,-6.214,10E-6,0,10E-6
462,15-03-2018,11:38:29,546,4.152,10E-6,-5.559,10E-6,0,10E-6
463,15-03-2018,11:38:39,546,8.115,10E-6,-1.958,10E-6,0,10E-6
464,15-03-2018,11:38:49,546,12.47,10E-6,1.97,10E-6,0,10E-6
465,15-03-2018,11:38:59,546,16.83,10E-6,5.897,10E-6,0,10E-6
466,15-03-2018,11:39:09,546,20.66,10E-6,8.516,10E-6,0,10E-6
467,15-03-2018,11:39:19,546,23.57,10E-6,10.15,10E-6,0,10E-6
468,15-03-2018,11:39:29,546,26.74,10E-6,14.08,10E-6,0,10E-6
469,15-03-2018,11:39:39,546,30.7,10E-6,18.01,10E-6,0,10E-6
470,15-03-2018,11:39:49,546,35.06,10E-6,20.95,10E-6,0,10E-6
471,15-03-2018,11:39:59,546,37.17,10E-6,23.25,10E-6,0,10E-6
472,15-03-2018,11:40:09,546,39.29,10E-6,27.5,10E-6,0,10E-6
473,15-03-2018,11:40:19,546,41.27,10E-6,32.08,10E-6,0,10E-6
474,15-03-2018,11:40:29,546,42.85,10E-6,36.67,10E-6,0,10E-6
475,15-03-2018,11:40:39,546,43.51,10E-6,37.32,10E-6,0,10E-6
476,15-03-2018,11:40:49,546,39.42,10E-6,27.5,10E-6,0,10E-6
477,15-03-2018,11:40:59,546,35.59,10E-6,20.95,10E-6,0,10E-6
478,15-03-2018,11:41:09,546,32.29,10E-6,17.03,10E-6,0,10E-6
479,15-03-2018,11:41:19,546,27.93,10E-6,12.44,10E-6,0,10E-6
480,15-03-2018,11:41:29,546,19.47,10E-6,4.588,10E-6,0,10E-6
481,15-03-2018,11:41:39,546,11.68,10E-6,-3.595,10E-6,0,10E-6
482,15-03-2018,11:41:49,546,3.492,10E-6,-6.214,10E-6,0,10E-6
483,15-03-2018,11:41:59,546,-4.434,10E-6,-8.505,10E-6,0,10E-6
484,15-03-2018,11:42:09,546,-10.77,10E-6,-8.832,10E-6,0,10E-6
485,15-03-2018,11:42:19,546,-16.19,10E-6,-8.832,10E-6,0,10E-6
486,15-03-2018,11:42:29,546,-20.81,10E-6,-9.487,10E-6,0,10E-6
487,15-03-2018,11:42:39,546,-25.3,10E-6,-11.12,10E-6,0,10E-6
488,15-03-2018,11:42:49,546,-28.61,10E-6,-10.8,10E-6,0,10E-6
489,15-03-2018,11:42:59,546,-30.85,10E-6,-10.14,10E-6,0,10E-6
490,15-03-2018,11:43:09,546,-33.23,10E-6,-10.14,10E-6,0,10E-6
491,15-03-2018,11:43:19,546,-35.87,10E-6,-11.45,10E-6,0,10E-6
492,15-03-2018,11:43:29,546,-36.4,10E-6,-10.47,10E-6,0,10E-6
493,15-03-2018,11:43:39,546,-36.27,10E-6,-9.487,10E-6,0,10E-6
494,15-03-2018,11:43:49,546,-37.59,10E-6,-8.832,10E-6,0,10E-6
495,15-03-2018,11:43:59,546,-39.3,10E-6,-9.814,10E-6,0,10E-6
496,15-03-2018,11:44:09,546,-40.36,10E-6,-8.505,10E-6,0,10E-6
497,15-03-2018,11:44:19,546,-41.15,10E-6,-7.195,10E-6,0,10E-6
498,15-03-2018,11:44:29,546,-43.14,10E-6,-6.541,10E-6,0,10E-6
499,15-03-2018,11:44:39,546,-31.91,10E-6,-6.868,10E-6,0,10E-6
500,15-03-2018,11:44:49,546,-22.13,10E-6,-5.886,10E-6,0,10E-6
501,15-03-2018,11:44:59,546,-13.94,10E-6,-4.904,10E-6,0,10E-6
502,15-03-2018,11:45:09,546,-6.811,10E-6,-4.577,10E-6,0,10E-6
503,15-03-2018,11:45:19,546,-339E-3,10E-6,-6.541,10E-6,0,10E-6
504,15-03-2018,11:45:29,546,5.605,10E-6,-6.541,10E-6,0,10E-6
505,15-03-2018,11:45:39,546,10.36,10E-6,-1.304,10E-6,0,10E-6
506,15-03-2018,11:45:49,546,13.93,10E-6,2.297,10E-6,0,10E-6
507,15-03-2018,11:45:59,546,16.83,10E-6,3.934,10E-6,0,10E-6
508,15-03-2018,11:46:09,546,20.27,10E-6,7.534,10E-6,0,10E-6
509,15-03-2018,11:46:19,546,23.57,10E-6,10.81,10E-6,0,10E-6
510,15-03-2018,11:46:29,546,26.47,10E-6,14.08,10E-6,0,10E-6
511,15-03-2018,11:46:39,546,28.85,10E-6,16.04,10E-6,0,10E-6
512,15-03-2018,11:46:49,546,32.02,10E-6,19.65,10E-6,0,10E-6
513,15-03-2018,11:46:59,546,34.8,10E-6,24.23,10E-6,0,10E-6
514,15-03-2018,11:47:09,546,37.31,10E-6,28.48,10E-6,0,10E-6
515,15-03-2018,11:47:19,546,40.34,10E-6,31.1,10E-6,0,10E-6
516,15-03-2018,11:47:29,546,43.65,10E-6,35.68,10E-6,0,10E-6
517,15-03-2018,11:47:39,546,44.97,10E-6,38.63,10E-6,0,10E-6
518,15-03-2018,11:47:49,546,39.55,10E-6,27.5,10E-6,0,10E-6
519,15-03-2018,11:47:59,546,34.8,10E-6,20.95,10E-6,0,10E-6
520,15-03-2018,11:48:09,546,30.44,10E-6,15.06,10E-6,0,10E-6
521,15-03-2018,11:48:19,546,27.14,10E-6,12.44,10E-6,0,10E-6
522,15-03-2018,11:48:29,546,18.42,10E-6,4.916,10E-6,0,10E-6
523,15-03-2018,11:48:39,546,9.964,10E-6,-4.577,10E-6,0,10E-6
524,15-03-2018,11:48:49,546,2.435,10E-6,-6.541,10E-6,0,10E-6
525,15-03-2018,11:48:59,546,-3.773,10E-6,-6.214,10E-6,0,10E-6
526,15-03-2018,11:49:09,546,-8.925,10E-6,-6.868,10E-6,0,10E-6
527,15-03-2018,11:49:19,546,-13.81,10E-6,-9.159,10E-6,0,10E-6
528,15-03-2018,11:49:29,546,-18.44,10E-6,-9.159,10E-6,0,10E-6
529,15-03-2018,11:49:39,546,-22.79,10E-6,-9.159,10E-6,0,10E-6
530,15-03-2018,11:49:49,546,-26.62,10E-6,-9.814,10E-6,0,10E-6
531,15-03-2018,11:49:59,546,-30.46,10E-6,-11.45,10E-6,0,10E-6
532,15-03-2018,11:50:09,546,-32.96,10E-6,-10.8,10E-6,0,10E-6
533,15-03-2018,11:50:19,546,-34.95,10E-6,-10.14,10E-6,0,10E-6
534,15-03-2018,11:50:29,546,-36.66,10E-6,-9.487,10E-6,0,10E-6
535,15-03-2018,11:50:39,546,-38.51,10E-6,-10.47,10E-6,0,10E-6
536,15-03-2018,11:50:49,546,-39.3,10E-6,-9.487,10E-6,0,10E-6
537,15-03-2018,11:50:59,546,-40.1,10E-6,-8.505,10E-6,0,10E-6
538,15-03-2018,11:51:09,546,-40.89,10E-6,-8.177,10E-6,0,10E-6
539,15-03-2018,11:51:19,546,-41.42,10E-6,-9.159,10E-6,0,10E-6
540,15-03-2018,11:51:29,546,-42.08,10E-6,-8.505,10E-6,0,10E-6
541,15-03-2018,11:51:39,546,-30.85,10E-6,-7.195,10E-6,0,10E-6
542,15-03-2018,11:51:49,546,-22.27,10E-6,-6.868,10E-6,0,10E-6
543,15-03-2018,11:51:59,546,-15.4,10E-6,-8.177,10E-6,0,10E-6
544,15-03-2018,11:52:09,546,-8.264,10E-6,-7.195,10E-6,0,10E-6
545,15-03-2018,11:52:19,546,-1.66,10E-6,-6.214,10E-6,0,10E-6
546,15-03-2018,11:52:29,546,4.416,10E-6,-5.232,10E-6,0,10E-6
547,15-03-2018,11:52:39,546,9.832,10E-6,-1.631,10E-6,0,10E-6
548,15-03-2018,11:52:49,546,14.59,10E-6,2.624,10E-6,0,10E-6
549,15-03-2018,11:52:59,546,19.21,10E-6,6.552,10E-6,0,10E-6
550,15-03-2018,11:53:09,546,23.44,10E-6,9.498,10E-6,0,10E-6
551,15-03-2018,11:53:19,546,26.87,10E-6,11.13,10E-6,0,10E-6
552,15-03-2018,11:53:29,546,29.78,10E-6,14.41,10E-6,0,10E-6
553,15-03-2018,11:53:39,546,32.02,10E-6,18.66,10E-6,0,10E-6
554,15-03-2018,11:53:49,546,33.74,10E-6,22.26,10E-6,0,10E-6
555,15-03-2018,11:53:59,546,35.06,10E-6,24.23,10E-6,0,10E-6
556,15-03-2018,11:54:09,546,36.91,10E-6,28.81,10E-6,0,10E-6
557,15-03-2018,11:54:19,546,39.16,10E-6,33.72,10E-6,0,10E-6
558,15-03-2018,11:54:29,546,41.14,10E-6,37.65,10E-6,0,10E-6
559,15-03-2018,11:54:39,546,41.93,10E-6,38.63,10E-6,0,10E-6
560,15-03-2018,11:54:49,546,37.83,10E-6,28.16,10E-6,0,10E-6
561,15-03-2018,11:54:59,546,33.61,10E-6,20.95,10E-6,0,10E-6
562,15-03-2018,11:55:09,546,30.31,10E-6,16.37,10E-6,0,10E-6
563,15-03-2018,11:55:19,546,27.4,10E-6,10.48,10E-6,0,10E-6
564,15-03-2018,11:55:29,546,19.47,10E-6,2.297,10E-6,0,10E-6
565,15-03-2018,11:55:39,546,10.49,10E-6,-5.559,10E-6,0,10E-6
566,15-03-2018,11:55:49,546,2.303,10E-6,-8.177,10E-6,0,10E-6
567,15-03-2018,11:55:59,546,-5.094,10E-6,-9.487,10E-6,0,10E-6
568,15-03-2018,11:56:09,546,-10.77,10E-6,-8.832,10E-6,0,10E-6
569,15-03-2018,11:56:19,546,-15.4,10E-6,-7.85,10E-6,0,10E-6
570,15-03-2018,11:56:29,546,-19.1,10E-6,-7.85,10E-6,0,10E-6
571,15-03-2018,11:56:39,546,-22.79,10E-6,-8.832,10E-6,0,10E-6
572,15-03-2018,11:56:49,546,-25.7,10E-6,-8.177,10E-6,0,10E-6
573,15-03-2018,11:56:59,546,-28.08,10E-6,-7.523,10E-6,0,10E-6
574,15-03-2018,11:57:09,546,-29.79,10E-6,-7.195,10E-6,0,10E-6
575,15-03-2018,11:57:19,546,-31.78,10E-6,-8.832,10E-6,0,10E-6
576,15-03-2018,11:57:29,546,-33.63,10E-6,-8.177,10E-6,0,10E-6
577,15-03-2018,11:57:39,546,-35.61,10E-6,-7.85,10E-6,0,10E-6
578,15-03-2018,11:57:49,546,-37.32,10E-6,-7.85,10E-6,0,10E-6
579,15-03-2018,11:57:59,546,-39.17,10E-6,-9.159,10E-6,0,10E-6
580,15-03-2018,11:58:09,546,-40.1,10E-6,-8.832,10E-6,0,10E-6
581,15-03-2018,11:58:19,546,-41.02,10E-6,-8.177,10E-6,0,10E-6
582,15-03-2018,11:58:29,546,-43.27,10E-6,-8.177,10E-6,0,10E-6
583,15-03-2018,11:58:39,546,-32.44,10E-6,-9.487,10E-6,0,10E-6
584,15-03-2018,11:58:49,546,-23.32,10E-6,-9.159,10E-6,0,10E-6
585,15-03-2018,11:58:59,546,-15.53,10E-6,-8.177,10E-6,0,10E-6
586,15-03-2018,11:59:09,546,-8.528,10E-6,-8.177,10E-6,0,10E-6
587,15-03-2018,11:59:19,546,-1.396,10E-6,-9.487,10E-6,0,10E-6
588,15-03-2018,11:59:29,546,5.209,10E-6,-7.85,10E-6,0,10E-6
589,15-03-2018,11:59:39,546,10.23,10E-6,-2.286,10E-6,0,10E-6
590,15-03-2018,11:59:49,546,14.45,10E-6,1.642,10E-6,0,10E-6
591,15-03-2018,11:59:59,546,17.89,10E-6,3.934,10E-6,0,10E-6
592,15-03-2018,12:00:09,546,21.72,10E-6,7.861,10E-6,0,10E-6
593,15-03-2018,12:00:19,546,25.81,10E-6,12.44,10E-6,0,10E-6
594,15-03-2018,12:00:29,546,29.51,10E-6,16.37,10E-6,0,10E-6
595,15-03-2018,12:00:39,546,32.42,10E-6,18.66,10E-6,0,10E-6
596,15-03-2018,12:00:49,546,35.06,10E-6,22.92,10E-6,0,10E-6
597,15-03-2018,12:00:59,546,37.97,10E-6,27.5,10E-6,0,10E-6
598,15-03-2018,12:01:09,546,40.74,10E-6,31.43,10E-6,0,10E-6
599,15-03-2018,12:01:19,546,42.72,10E-6,33.72,10E-6,0,10E-6
600,15-03-2018,12:01:29,546,44.17,10E-6,37.98,10E-6,0,10E-6
601,15-03-2018,12:01:39,546,44.84,10E-6,40.92,10E-6,0,10E-6
602,15-03-2018,12:01:49,546,39.29,10E-6,29.46,10E-6,0,10E-6
603,15-03-2018,12:01:59,546,34.53,10E-6,21.61,10E-6,0,10E-6
604,15-03-2018,12:02:09,546,30.17,10E-6,15.06,10E-6,0,10E-6
605,15-03-2018,12:02:19,546,26.61,10E-6,11.46,10E-6,0,10E-6
606,15-03-2018,12:02:29,546,17.62,10E-6,2.624,10E-6,0,10E-6
607,15-03-2018,12:02:39,546,8.643,10E-6,-7.523,10E-6,0,10E-6
608,15-03-2018,12:02:49,546,1.114,10E-6,-10.14,10E-6,0,10E-6
609,15-03-2018,12:02:59,546,-5.358,10E-6,-9.487,10E-6,0,10E-6
610,15-03-2018,12:03:09,546,-11.17,10E-6,-9.487,10E-6,0,10E-6
611,15-03-2018,12:03:19,546,-15.53,10E-6,-10.8,10E-6,0,10E-6
612,15-03-2018,12:03:29,546,-18.83,10E-6,-10.14,10E-6,0,10E-6
613,15-03-2018,12:03:39,546,-22.66,10E-6,-9.159,10E-6,0,10E-6
614,15-03-2018,12:03:49,546,-26.36,10E-6,-8.505,10E-6,0,10E-6
615,15-03-2018,12:03:59,546,-29.93,10E-6,-9.487,10E-6,0,10E-6
616,15-03-2018,12:04:09,546,-32.17,10E-6,-8.177,10E-6,0,10E-6
617,15-03-2018,12:04:19,546,-33.76,10E-6,-6.541,10E-6,0,10E-6
618,15-03-2018,12:04:29,546,-34.95,10E-6,-5.886,10E-6,0,10E-6
619,15-03-2018,12:04:39,546,-36.13,10E-6,-7.195,10E-6,0,10E-6
620,15-03-2018,12:04:49,546,-36.8,10E-6,-6.541,10E-6,0,10E-6
621,15-03-2018,12:04:59,546,-37.32,10E-6,-5.559,10E-6,0,10E-6
622,15-03-2018,12:05:09,546,-37.59,10E-6,-5.886,10E-6,0,10E-6
623,15-03-2018,12:05:19,546,-38.38,10E-6,-7.85,10E-6,0,10E-6
624,15-03-2018,12:05:29,546,-40.36,10E-6,-8.505,10E-6,0,10E-6
625,15-03-2018,12:05:39,546,-29.66,10E-6,-7.85,10E-6,0,10E-6
626,15-03-2018,12:05:49,546,-21.47,10E-6,-8.505,10E-6,0,10E-6
627,15-03-2018,12:05:59,546,-14.87,10E-6,-10.14,10E-6,0,10E-6
628,15-03-2018,12:06:09,546,-8.132,10E-6,-9.814,10E-6,0,10E-6
629,15-03-2018,12:06:19,546,-1.792,10E-6,-8.832,10E-6,0,10E-6
630,15-03-2018,12:06:29,546,3.624,10E-6,-7.85,10E-6,0,10E-6
631,15-03-2018,12:06:39,546,7.85,10E-6,-3.922,10E-6,0,10E-6
632,15-03-2018,12:06:49,546,12.87,10E-6,987.6E-3,10E-6,0,10E-6
633,15-03-2018,12:06:59,546,17.23,10E-6,5.243,10E-6,0,10E-6
634,15-03-2018,12:07:09,546,20.93,10E-6,9.171,10E-6,0,10E-6
635,15-03-2018,12:07:19,546,24.49,10E-6,11.13,10E-6,0,10E-6
636,15-03-2018,12:07:29,546,29.25,10E-6,15.39,10E-6,0,10E-6
637,15-03-2018,12:07:39,546,32.82,10E-6,19.65,10E-6,0,10E-6
638,15-03-2018,12:07:49,546,35.06,10E-6,23.25,10E-6,0,10E-6
639,15-03-2018,12:07:59,546,36.65,10E-6,25.54,10E-6,0,10E-6
640,15-03-2018,12:08:09,546,38.76,10E-6,29.79,10E-6,0,10E-6
641,15-03-2018,12:08:19,546,41.14,10E-6,34.37,10E-6,0,10E-6
642,15-03-2018,12:08:29,546,43.25,10E-6,37.98,10E-6,0,10E-6
643,15-03-2018,12:08:39,546,44.17,10E-6,38.63,10E-6,0,10E-6
644,15-03-2018,12:08:49,546,40.34,10E-6,27.83,10E-6,0,10E-6
645,15-03-2018,12:08:59,546,36.25,10E-6,20.95,10E-6,0,10E-6
646,15-03-2018,12:09:09,546,32.55,10E-6,16.37,10E-6,0,10E-6
647,15-03-2018,12:09:19,546,28.72,10E-6,10.81,10E-6,0,10E-6
648,15-03-2018,12:09:29,546,20.4,10E-6,2.952,10E-6,0,10E-6
649,15-03-2018,12:09:39,546,11.81,10E-6,-5.559,10E-6,0,10E-6
650,15-03-2018,12:09:49,546,3.227,10E-6,-8.832,10E-6,0,10E-6
651,15-03-2018,12:09:59,546,-4.566,10E-6,-10.47,10E-6,0,10E-6
652,15-03-2018,12:10:09,546,-10.64,10E-6,-10.14,10E-6,0,10E-6
653,15-03-2018,12:10:19,546,-15.93,10E-6,-9.487,10E-6,0,10E-6
654,15-03-2018,12:10:29,546,-20.55,10E-6,-9.159,10E-6,0,10E-6
655,15-03-2018,12:10:39,546,-24.78,10E-6,-10.14,10E-6,0,10E-6
656,15-03-2018,12:10:49,546,-28.08,10E-6,-9.159,10E-6,0,10E-6
657,15-03-2018,12:10:59,546,-30.32,10E-6,-8.505,10E-6,0,10E-6
658,15-03-2018,12:11:09,546,-32.83,10E-6,-8.177,10E-6,0,10E-6
659,15-03-2018,12:11:19,546,-35.47,10E-6,-9.159,10E-6,0,10E-6
660,15-03-2018,12:11:29,546,-36.66,10E-6,-8.832,10E-6,0,10E-6
661,15-03-2018,12:11:39,546,-36.4,10E-6,-7.85,10E-6,0,10E-6
662,15-03-2018,12:11:49,546,-36.93,10E-6,-7.85,10E-6,0,10E-6
663,15-03-2018,12:11:59,546,-38.64,10E-6,-9.159,10E-6,0,10E-6
664,15-03-2018,12:12:09,546,-39.57,10E-6,-8.832,10E-6,0,10E-6
665,15-03-2018,12:12:19,546,-40.49,10E-6,-8.177,10E-6,0,10E-6
666,15-03-2018,12:12:29,546,-42.74,10E-6,-8.177,10E-6,0,10E-6
667,15-03-2018,12:12:39,546,-32.04,10E-6,-8.832,10E-6,0,10E-6
668,15-03-2018,12:12:49,546,-22.53,10E-6,-7.85,10E-6,0,10E-6
669,15-03-2018,12:12:59,546,-13.81,10E-6,-6.868,10E-6,0,10E-6
670,15-03-2018,12:13:09,546,-6.547,10E-6,-6.541,10E-6,0,10E-6
671,15-03-2018,12:13:19,546,-603.2E-3,10E-6,-7.523,10E-6,0,10E-6
672,15-03-2018,12:13:29,546,5.605,10E-6,-6.214,10E-6,0,10E-6
673,15-03-2018,12:13:39,546,11.55,10E-6,-649E-3,10E-6,0,10E-6
674,15-03-2018,12:13:49,546,16.04,10E-6,3.279,10E-6,0,10E-6
675,15-03-2018,12:13:59,546,18.81,10E-6,4.916,10E-6,0,10E-6
676,15-03-2018,12:14:09,546,21.98,10E-6,9.171,10E-6,0,10E-6
677,15-03-2018,12:14:19,546,25.02,10E-6,12.77,10E-6,0,10E-6
678,15-03-2018,12:14:29,546,27.53,10E-6,16.37,10E-6,0,10E-6
679,15-03-2018,12:14:39,546,29.51,10E-6,18.01,10E-6,0,10E-6
680,15-03-2018,12:14:49,546,32.29,10E-6,22.26,10E-6,0,10E-6
681,15-03-2018,12:14:59,546,34.8,10E-6,26.52,10E-6,0,10E-6
682,15-03-2018,12:15:09,546,37.04,10E-6,30.12,10E-6,0,10E-6
683,15-03-2018,12:15:19,546,39.02,10E-6,32.08,10E-6,0,10E-6
684,15-03-2018,12:15:29,546,41.14,10E-6,36.01,10E-6,0,10E-6
685,15-03-2018,12:15:39,546,42.99,10E-6,38.63,10E-6,0,10E-6
686,15-03-2018,12:15:49,546,39.02,10E-6,26.85,10E-6,0,10E-6
687,15-03-2018,12:15:59,546,36.12,10E-6,19.65,10E-6,0,10E-6
688,15-03-2018,12:16:09,546,32.15,10E-6,13.75,10E-6,0,10E-6
689,15-03-2018,12:16:19,546,28.46,10E-6,10.15,10E-6,0,10E-6
690,15-03-2018,12:16:29,546,18.68,10E-6,1.97,10E-6,0,10E-6
691,15-03-2018,12:16:39,546,9.039,10E-6,-7.195,10E-6,0,10E-6
692,15-03-2018,12:16:49,546,1.378,10E-6,-8.832,10E-6,0,10E-6
693,15-03-2018,12:16:59,546,-4.83,10E-6,-7.523,10E-6,0,10E-6
694,15-03-2018,12:17:09,546,-9.981,10E-6,-6.541,10E-6,0,10E-6
695,15-03-2018,12:17:19,546,-14.87,10E-6,-7.523,10E-6,0,10E-6
696,15-03-2018,12:17:29,546,-18.83,10E-6,-6.541,10E-6,0,10E-6
697,15-03-2018,12:17:39,546,-22.4,10E-6,-5.886,10E-6,0,10E-6
698,15-03-2018,12:17:49,546,-25.3,10E-6,-5.886,10E-6,0,10E-6
699,15-03-2018,12:17:59,546,-27.81,10E-6,-7.523,10E-6,0,10E-6
700,15-03-2018,12:18:09,546,-29.93,10E-6,-7.523,10E-6,0,10E-6
701,15-03-2018,12:18:19,546,-32.44,10E-6,-7.195,10E-6,0,10E-6
702,15-03-2018,12:18:29,546,-34.81,10E-6,-7.523,10E-6,0,10E-6
703,15-03-2018,12:18:39,546,-37.06,10E-6,-9.487,10E-6,0,10E-6
704,15-03-2018,12:18:49,546,-38.51,10E-6,-9.487,10E-6,0,10E-6
705,15-03-2018,12:18:59,546,-39.44,10E-6,-9.159,10E-6,0,10E-6
706,15-03-2018,12:19:09,546,-40.23,10E-6,-9.814,10E-6,0,10E-6
707,15-03-2018,12:19:19,546,-41.81,10E-6,-11.12,10E-6,0,10E-6
708,15-03-2018,12:19:29,546,-43.93,10E-6,-10.8,10E-6,0,10E-6
709,15-03-2018,12:19:39,546,-32.3,10E-6,-9.814,10E-6,0,10E-6
710,15-03-2018,12:19:49,546,-23.59,10E-6,-9.814,10E-6,0,10E-6
711,15-03-2018,12:19:59,546,-16.45,10E-6,-10.47,10E-6,0,10E-6
712,15-03-2018,12:20:09,546,-8.925,10E-6,-9.487,10E-6,0,10E-6
713,15-03-2018,12:20:19,546,-999.4E-3,10E-6,-8.177,10E-6,0,10E-6
714,15-03-2018,12:20:29,546,5.209,10E-6,-6.868,10E-6,0,10E-6
715,15-03-2018,12:20:39,546,9.568,10E-6,-2.94,10E-6,0,10E-6
716,15-03-2018,12:20:49,546,13.93,10E-6,2.297,10E-6,0,10E-6
717,15-03-2018,12:20:59,546,18.15,10E-6,6.552,10E-6,0,10E-6
718,15-03-2018,12:21:09,546,21.85,10E-6,10.15,10E-6,0,10E-6
719,15-03-2018,12:21:19,546,24.63,10E-6,12.12,10E-6,0,10E-6
720,15-03-2018,12:21:29,546,28.32,10E-6,16.04,10E-6,0,10E-6
721,15-03-2018,12:21:39,546,32.29,10E-6,19.97,10E-6,0,10E-6
722,15-03-2018,12:21:49,546,35.06,10E-6,23.57,10E-6,0,10E-6
723,15-03-2018,12:21:59,546,37.17,10E-6,25.54,10E-6,0,10E-6
724,15-03-2018,12:22:09,546,39.68,10E-6,29.14,10E-6,0,10E-6
725,15-03-2018,12:22:19,546,42.46,10E-6,33.39,10E-6,0,10E-6
